,germination,growth,maturity
18901,285.31516917293237,291.32383458646615,283.4259210526315
18902,288.2487940630798,292.9176808905381,285.10497217068644
18903,284.30409001956946,290.40600782778864,282.27285714285705
18904,287.47114599686023,292.4586342229199,284.5143799058085
18905,284.0589751552795,290.8791304347826,281.9863043478261
18906,283.60350230414747,290.31172043010747,281.4808755760369
18907,284.6429120879121,291.21565934065933,282.50038461538463
18908,283.2887557603687,290.15907834101375,281.13608294930873
18909,283.9314666666666,290.63102857142854,281.8584
18910,288.36231168831165,293.2615324675324,285.32864935064936
18911,286.85719851576994,292.4383673469387,284.0908348794064
18912,286.3159422492401,291.88708206686925,283.77586626139816
18913,285.24193092621664,291.1874411302983,283.10976452119303
18914,285.3720431893688,291.4019933554817,283.16558139534885
18915,285.1499125364432,291.4926239067055,283.1824198250729
18916,284.71909937888194,291.3569565217391,282.68583850931674
18917,281.09409937888205,287.2725465838509,278.79245341614904
18918,284.98391071428574,291.7138035714286,283.2573035714285
18919,287.943125,292.6857142857143,284.94745535714287
18920,288.47489010989017,293.327673992674,285.4373626373627
18921,285.3732432432433,291.9225482625483,283.7610424710424
18922,286.25490683229816,292.24726708074536,284.2449068322981
18923,287.7798081023454,292.7888059701492,284.7650319829424
18924,285.3325714285714,291.26428571428573,283.2512142857143
18925,285.3283116883118,291.3066604823748,283.26192949907244
18926,285.22948051948055,291.5913852813852,283.7363203463203
18927,285.7732838589981,291.7758441558443,283.6162523191095
18928,283.67469387755114,290.1590538033395,281.8169573283859
18929,287.0820282186948,291.96008818342153,284.1288536155203
18930,284.9813203463204,290.87002164502167,283.0483982683982
18931,285.08516290726806,291.31165413533836,283.18100250626566
18932,284.8031476997579,291.07738498789337,282.85832929782083
18933,285.138603896104,291.32266233766234,283.6541558441558
18934,285.85267605633805,291.80742454728374,283.7449094567404
18935,285.6333540372671,291.83355590062115,283.5219875776398
18936,282.93188644688644,289.5705860805861,280.8728021978022
18937,285.6149299719888,292.3412324929973,283.94879551820725
18938,286.10602316602314,291.9115444015445,283.63142857142867
18939,283.6136703296703,290.293934065934,281.54720879120885
18940,286.28561224489783,292.2586394557823,284.15891156462595
18941,288.67448979591836,293.45392857142855,285.5198979591837
18942,285.4755580357143,291.44328125,283.86691964285717
18943,283.67285714285714,290.32338509316764,281.6903726708075
18944,286.69029259896735,291.9275903614457,283.8795180722891
18945,285.0008374384237,291.1574876847291,283.0499753694582
18946,285.6810837438424,291.60704433497534,283.53417077175703
18947,285.6989075630252,291.99969747899155,283.5974117647059
18948,285.22380952380956,291.0486446886447,283.2278388278388
18949,285.11857142857144,291.1986813186814,283.35172161172164
18950,284.6851648351649,290.60475524475527,282.38333666333665
18951,285.1442527472527,291.0028901098901,282.987054945055
18952,284.66203796203797,290.98892107892107,282.3665834165834
18953,284.78046031746027,290.76139682539684,282.6514920634921
18954,284.4775124875124,290.58920079920074,282.32792207792204
18955,285.17716483516483,291.21481318681316,283.1246813186813
18956,284.15610389610396,290.1996536796537,281.8879220779221
18957,281.62373626373625,288.73296703296705,279.58776556776553
18958,281.4422222222222,288.3649735449735,279.3270105820106
18959,281.734686716792,288.88989974937346,279.5936591478697
18960,283.78990783410126,290.93700460829496,281.64377880184327
18961,280.85077922077915,287.5900432900433,278.6806493506494
18962,282.84785714285715,289.65132653061227,280.6934693877551
18963,282.55340259740257,289.6306493506494,280.1864935064935
